SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
DM526101006BYCNCN430056,DM526101006BYCNCN430056,MELI SANDRINI SP,,,,,,,,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,sim
DM526105001AACNCN39323,DM526105001AACNCN39323,MELI SANDRINI SP,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,sim
DM526105001AACNCN40324,DM526105001AACNCN40324,MELI SANDRINI SP,,,,,,,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,sim
DM526105001AACNCN41325,DM526105001AACNCN41325,MELI SANDRINI SP,,,,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,sim
DM526105001AACNCN42326,DM526105001AACNCN42326,MELI SANDRINI SP,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,sim
DM526105001AACNCN43327,DM526105001AACNCN43327,MELI SANDRINI SP,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,sim
DM610101005AHCNCN430134,DM610101005AHCNCN430134,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
DM625101001AAABCN380152,DM625101001AAABCN380152,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
DM625101001AAABCN390153,DM625101001AAABCN390153,MELI SANDRINI SP,,,,,,,,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,11,sim
DM625101001AAABCN400154,DM625101001AAABCN400154,MELI SANDRINI SP,,,,,,,,36,36,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,12,sim
DM625101001AAABCN410155,DM625101001AAABCN410155,MELI SANDRINI SP,,,,,,,,35,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,12,sim
DM625101001AAABCN420156,DM625101001AAABCN420156,MELI SANDRINI SP,,,,,,,,13,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,8,sim
DM625101001AAABCN430157,DM625101001AAABCN430157,MELI SANDRINI SP,,,,,,,,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,sim
DM625101002AHCNCN390160,DM625101002AHCNCN390160,MELI SANDRINI SP,,,,,,,,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,sim
DM625101002AHCNCN400161,DM625101002AHCNCN400161,MELI SANDRINI SP,,,,,,,,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,20,sim
DM625101002AHCNCN410162,DM625101002AHCNCN410162,MELI SANDRINI SP,,,,,,,,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,sim
DM625101002AHCNCN420163,DM625101002AHCNCN420163,MELI SANDRINI SP,,,,,,,,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,20,sim
DM625101002AHCNCN430164,DM625101002AHCNCN430164,MELI SANDRINI SP,,,,,,,,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,sim
DM626102002AHCNCN390032,DM626102002AHCNCN390032,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
DM626102002AHCNCN400033,DM626102002AHCNCN400033,MELI SANDRINI SP,,,,,,,,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,sim
DM626102002AHCNCN410034,DM626102002AHCNCN410034,MELI SANDRINI SP,,,,,,,,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,sim
DM626102002AHCNCN420035,DM626102002AHCNCN420035,MELI SANDRINI SP,,,,,,,,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,sim
DM626102002AHCNCN430036,DM626102002AHCNCN430036,MELI SANDRINI SP,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,sim
DM640101001AACNCN390012,DM640101001AACNCN390012,MELI SANDRINI SP,,,,,,,,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,sim
DM640101001AACNCN400013,DM640101001AACNCN400013,MELI SANDRINI SP,,,,,,,,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,34,sim
DM640101001AACNCN410014,DM640101001AACNCN410014,MELI SANDRINI SP,,,,,,,,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,48,sim
DM640101001AACNCN420015,DM640101001AACNCN420015,MELI SANDRINI SP,,,,,,,,0,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,46,sim
DM640101001AACNCN430016,DM640101001AACNCN430016,MELI SANDRINI SP,,,,,,,,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23,sim
DM640101003AHCNCN390019,DM640101003AHCNCN390019,MELI SANDRINI SP,,,,,,,,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,sim
DM640101003AHCNCN400020,DM640101003AHCNCN400020,MELI SANDRINI SP,,,,,,,,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,sim
DM640101003AHCNCN410021,DM640101003AHCNCN410021,MELI SANDRINI SP,,,,,,,,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,sim
DM640101003AHCNCN420022,DM640101003AHCNCN420022,MELI SANDRINI SP,,,,,,,,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,sim
DM640101003AHCNCN430023,DM640101003AHCNCN430023,MELI SANDRINI SP,,,,,,,,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,sim
DM640201004AHCNCN420228,DM640201002AHAGCN420235,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
DM653101001AACNCN39328,DM653101001AACNCN39328,MELI SANDRINI SP,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
DM653101001AACNCN40329,DM653101001AACNCN40329,MELI SANDRINI SP,,,,,,,,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,sim
DM653101001AACNCN41330,DM653101001AACNCN41330,MELI SANDRINI SP,,,,,,,,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,sim
DM653101001AACNCN42331,DM653101001AACNCN42331,MELI SANDRINI SP,,,,,,,,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,12,sim
DM653101001AACNCN43332,DM653101001AACNCN43332,MELI SANDRINI SP,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
DM653101005CTCNCN39333,DM653101005CTCNCN39333,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
DM653101005CTCNCN40334,DM653101005CTCNCN40334,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
DM653101005CTCNCN41335,DM653101005CTCNCN41335,MELI SANDRINI SP,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
DM653101005CTCNCN42336,DM653101005CTCNCN42336,MELI SANDRINI SP,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
DM653101005CTCNCN43337,DM653101005CTCNCN43337,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
DT000002023ATCNCN000002,DT000002023ATCNCN000002,SHOPEE SPORTS SANDRINI SP,,,,,,,,,,,,,0,,,,,,,,,,124,124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,124,0,sim
DT000002033AVCNCN000003,DT000002033AVCNCN000003,SHOPEE SPORTS SANDRINI SP,,,,,,,,,,,,,0,,,,,,,,,,39,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,3,sim
DT000002040ATACCN000004,DT000002040ATACCN000004,MELI SANDRINI MG,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,sim
F01L00355CPTOOLVCZT39,FL000012855AACFAE390062,MELI SANDRINI SP,,,,,,,,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,sim
F01R00116CVDMRAZT42,FL000011860AJADAC420489,MELI SANDRINI SP,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,sim
F01R00139CBRCPTOLRJT42,FL000012426ABAAAV420013,MELI SANDRINI SP,,,,,,,,0,0,10,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,sim
F01TR00037CPTGRBRT41,FL000012367AABPAB410241,MELI SANDRINI SP,,,,,,,,0,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,81,sim
F01TR00065CMRAZLRJT38,FL01TR00065ADACAV381495,MELI SANDRINI SP,,,,,,,,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,sim
F01TR00065CMRAZLRJT39,FL01TR00065ADACAV391484,MELI SANDRINI SP,,,,,,,,0,12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,30,sim
F01TR00065CMRAZLRJT40,FL01TR00065ADACAV401485,MELI SANDRINI SP,,,,,,,,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,54,sim
F01TR00065CMRAZLRJT41,FL01TR00065ADACAV411486,MELI SANDRINI SP,,,,,,,,45,47,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,47,92,sim
F01TR00065CMRAZLRJT42,FL01TR00065ADACAV421487,MELI SANDRINI SP,,,,,,,,0,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,52,sim
F01TR00065CMRAZLRJT43,FL01TR00065ADACAV431488,MELI SANDRINI SP,,,,,,,,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9,sim
F01TR00067CPTOGRFDORT38,,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,0,sim
F01TR00067CPTOGRFDORT39,FL000012865AABPCB390124,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,1,sim
F01TR00067CPTOGRFDORT40,FL000012865AABPCB400119,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,65,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,2,sim
F01TR00067CPTOGRFDORT41,FL000012865AABPCB410118,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,80,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,0,sim
F01TR00067CPTOGRFDORT42,FL000012865AABPCB420117,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,53,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,0,sim
F01TR00067CPTOGRFDORT43,FL000012865AABPCB430116,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0,sim
F01TR00070CBRCPTOLRJT39,FL000012857ABAAAV390017,MELI SANDRINI SP,,,,,,,,36,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,3,sim
F01TR00070CBRCPTOLRJT40,FL000012857ABAAAV400021,MELI SANDRINI SP,,,,,,,,64,64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,3,sim
F01TR00070CBRCPTOLRJT41,FL000012857ABAAAV410020,MELI SANDRINI SP,,,,,,,,81,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,2,sim
F01TR00070CBRCPTOLRJT42,FL000012857ABAAAV420019,MELI SANDRINI SP,,,,,,,,60,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,1,sim
F01TR00070CBRCPTOLRJT43,FL000012857ABAAAV430018,MELI SANDRINI SP,,,,,,,,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,sim
F01TR00070CPTVDCZT39,"FL01TR00070AAAGAE391655
",MELI SANDRINI SP,,,,,,,,12,12,1,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,1,sim
F01TR00070CPTVDCZT40,FL01TR00070AAAGAE401656,MELI SANDRINI SP,,,,,,,,23,23,1,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,1,sim
F01TR00070CPTVDCZT41,FL01TR00070AAAGAE411657,MELI SANDRINI SP,,,,,,,,67,67,1,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,1,sim
F01TR00070CPTVDCZT42,FL01TR00070AAAGAE421658,MELI SANDRINI SP,,,,,,,,27,27,1,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,1,sim
F01TR00070CPTVDCZT43,FL01TR00070AAAGAE431659,MELI SANDRINI SP,,,,,,,,4,4,1,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,sim
F02R00172CGRPTCBRT35,FL000012871BPAACS350258,MELI SANDRINI SP,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,sim
F02R00172CGRPTCBRT36,FL000012871BPAACS360257,MELI SANDRINI SP,,,,,,,,32,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,7,sim
F02R00172CGRPTCBRT37,FL000012871BPAACS370256,MELI SANDRINI SP,,,,,,,,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,5,sim
F02R00172CGRPTCBRT38,FL000012871BPAACS380259,MELI SANDRINI SP,,,,,,,,115,115,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,115,13,sim
F02R00172CGRPTCBRT39,FL000012871BPAACS390261,MELI SANDRINI SP,,,,,,,,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,sim
F02R00172CGRPTCBRT40,FL000012871BPAACS400260,MELI SANDRINI SP,,,,,,,,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,0,sim
F02R00172CRSMRGRT35,FL000012871ARADBP350264,MELI SANDRINI SP,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
F02R00172CRSMRGRT36,FL000012871ARADBP360263,MELI SANDRINI SP,,,,,,,,33,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,16,sim
F02R00172CRSMRGRT37,FL000012871ARADBP370262,MELI SANDRINI SP,,,,,,,,19,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,23,sim
F02R00172CRSMRGRT38,FL000012871ARADBP380265,MELI SANDRINI SP,,,,,,,,21,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,13,sim
F02R00172CRSMRGRT39,FL000012871ARADBP390267,MELI SANDRINI SP,,,,,,,,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,sim
F02TR00072CPTOCBRCZT36,FL000012857AACSAE360072,MAGALU SANDRINI MG,,,,,,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
F02TR00074CPTRSCBRT35,FL000012865AAARCS350096,MELI SANDRINI SP,,,,,,,,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16,sim
F02TR00074CPTRSCBRT36,FL000012865AAARCS360095,MELI SANDRINI SP,,,,,,,,0,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,28,sim
F02TR00074CPTRSCBRT37,FL000012865AAARCS370094,MELI SANDRINI SP,,,,,,,,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,50,sim
F02TR00074CPTRSCBRT38,FL000012865AAARCS380093,MELI SANDRINI SP,,,,,,,,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,sim
F02TR00074CPTRSCBRT39,FL000012865AAARCS390097,MELI SANDRINI SP,,,,,,,,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,sim
F04K002CPTOVRMPTAT36,FL000010717AAAFCL360620,MELI SANDRINI SP,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,sim
F91W1DGSC,F91W1DGSC,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0,0,40,0,0,0,,,,,,,0,2,40,sim
F91W1DGSC_FBA,,AMAZON BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16,,,,0,0,16,sim
FE00001062DAEAACN390074,FE00001062DAEAACN390074,MELI SANDRINI SP,,,,,,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,sim
FE00001062DAEAACN400075,FE00001062DAEAACN400075,MELI SANDRINI SP,,,,,,,,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,sim
FE00001062DAEAACN410076,FE00001062DAEAACN410076,MELI SANDRINI SP,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,não
FE00001062DAEAACN420077,FE00001062DAEAACN420077,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
FE00002075BABBTCN420087,FE00002075BABBTCN420087,MELI SANDRINI SP,,,,,,,,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,1,sim
FE006152675AHCNCN390018,FE006152675AHCNCN390018,MELI SANDRINI SP,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,sim
FE006152675AHCNCN410020,FE006152675AHCNCN410020,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
FE006152675AHCNCN420021,FE006152675AHCNCN420021,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
FE006152675AHCNCN430022,FE006152675AHCNCN430022,MELI SANDRINI SP,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,não
FE008058617BYCNCN410015,FE008058617BYCNCN410015,MELI SANDRINI SP,,,,,,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,sim
FE008058617BYCNCN420016,FE008058617BYCNCN420016,MELI SANDRINI SP,,,,,,,,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,0,sim
FE008287695AZABCN420026,FE008287695AZABCN420026,MELI SANDRINI SP,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,sim
FE009620665AACNCN390054,FE009620665AACNCN390054,MELI SANDRINI SP,,,,,,,,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,sim
FE009620665AACNCN400055,FE009620665AACNCN400055,MELI SANDRINI SP,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,sim
FE009620665AACNCN420057,FE009620665AACNCN420057,MELI SANDRINI SP,,,,,,,,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,1,sim
FE009620665AXCNCN390060,FE009620665AXCNCN390060,MELI SANDRINI SP,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,sim
FE009620665AXCNCN400061,FE009620665AXCNCN400061,MELI SANDRINI SP,,,,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,sim
FE009620665AXCNCN410062,FE009620665AXCNCN410062,MELI SANDRINI SP,,,,,,,,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2,sim
FE009620665AXCNCN420063,FE009620665AXCNCN420063,MELI SANDRINI SP,,,,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,sim
FE009949517AACNCN390041,FE009949517AACNCN390041,MELI SANDRINI SP,,,,,,,,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,sim
FE009949517AACNCN400042,FE009949517AACNCN400042,MELI SANDRINI SP,,,,,,,,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,0,sim
FE009949517AACNCN410043,FE009949517AACNCN410043,MELI SANDRINI SP,,,,,,,,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,1,sim
FE009949517AACNCN420044,FE009949517AACNCN420044,MELI SANDRINI SP,,,,,,,,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,sim
FE009951517AACNCN420051,FE009951517AACNCN420051,MELI SANDRINI SP,,,,,,,,13,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,3,sim
FE009951517AXCNCN380047,FE009951517AXCNCN380047,MELI SANDRINI SP,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,sim
FE009951517AXCNCN390048,FE009951517AXCNCN390048,MELI SANDRINI SP,,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,sim
